,Protein1,Protein2,Interacting
0,P09798,P09798,1
1,P07342,P25605,1
2,P05453,P05453,1
3,P12385,P05453,1
4,P53886,P09798,1
5,P14724,P09798,1
6,P53886,P53886,1
7,P16522,P09798,1
8,P38042,P09798,1
9,P16522,P16522,1
10,P38042,P16522,1
11,P46677,P13393,1
12,P13393,P23255,1
13,P38995,P38636,1
14,P46678,P13393,1
15,P46678,P29056,1
16,P13393,P29056,1
17,P02309,P06701,1
18,P02309,P11978,1
19,P11978,P06701,1
20,P11938,P06701,1
21,P06701,P02293,1
22,P06701,P06701,1
23,P11978,P11938,1
24,P11978,P06700,1
25,Q07468,P38959,1
26,P29295,P09959,1
27,P53378,P53540,1
28,P38863,P53378,1
29,P53540,P38863,1
30,P53540,P32380,1
31,P32380,P38863,1
32,P07149,P19097,1
33,P32524,Q07350,1
34,Q07350,P19736,1
35,P19736,P19736,1
36,P32524,P19736,1
37,P38042,P38042,1
38,P14306,P40368,1
39,P47093,P38999,1
40,P32524,P38167,1
41,P40567,P38883,1
42,P40070,P47093,1
43,P22543,P22219,1
44,P11978,P11978,1
45,P18851,P18852,1
46,P18851,P08539,1
47,P20433,P34087,1
48,P20676,Q02821,1
49,P13902,P26798,1
50,P06787,P32380,1
51,P32605,Q06205,1
52,P39723,Q00916,1
53,P42937,Q00916,1
54,Q00916,Q04213,1
55,P32361,Q00916,1
56,P12689,Q00916,1
57,P22579,Q00916,1
58,Q00916,P09547,1
59,Q00916,P32639,1
60,P25644,P47093,1
61,P39081,P47093,1
62,P47093,P39998,1
63,P38768,P47093,1
64,P47093,P48240,1
65,Q12186,P24384,1
66,Q12186,P09547,1
67,P39682,Q12186,1
68,P32909,Q12186,1
69,P39935,Q07350,1
70,Q07350,Q04195,1
71,Q07350,P36056,1
72,Q07350,Q12431,1
73,P11075,P32524,1
74,P32524,P25648,1
75,Q02775,Q02260,1
76,Q02260,P53090,1
77,Q02260,Q12745,1
78,P43321,P38927,1
79,Q00416,P43321,1
80,P43321,P40018,1
81,P38111,P40567,1
82,P40567,P53615,1
83,P12954,P40567,1
84,Q00578,P40567,1
85,P40567,P09547,1
86,P40567,P38811,1
87,P32499,Q02821,1
88,Q07350,Q04002,1
89,P36048,P40567,1
90,P34077,P14306,1
91,P12904,P06782,1
92,P47093,P38203,1
93,P43321,Q02046,1
94,Q08491,P47093,1
95,P47093,P53550,1
96,Q04477,Q07350,1
97,Q03497,P32524,1
98,Q02336,P07248,1
99,P14724,P38042,1
100,Q12157,P53886,1
101,Q03048,P46680,1
102,P35189,P41895,1
103,Q12018,P53061,1
104,P11938,P29539,1
105,P32917,P23561,1
106,P25344,P23561,1
107,P18851,P32917,1
108,P17555,P15891,1
109,Q03497,P29366,1
110,Q12446,Q03048,1
111,Q12446,P32790,1
112,Q12446,P29366,1
113,P07274,P41832,1
114,P17555,P17555,1
115,P06100,Q02336,1
116,Q02336,Q03330,1
117,P03069,Q02336,1
118,Q02336,P13393,1
119,P04387,P04386,1
120,P04386,P13393,1
121,Q02336,P04386,1
122,P03069,P34162,1
123,P47822,P03069,1
124,Q05027,P03069,1
125,P53040,P03069,1
126,P38129,P03069,1
127,Q02336,P38129,1
128,P46677,Q05027,1
129,P46677,P38129,1
130,P38811,Q02336,1
131,P35177,P38811,1
132,P07248,P38129,1
133,P13393,P07248,1
134,P07248,P46677,1
135,P53040,P07248,1
136,P07248,Q12030,1
137,Q12060,Q12060,1
138,Q12060,Q02336,1
139,P50875,Q12060,1
140,Q03330,Q12060,1
141,P07248,Q03330,1
142,P07248,P29055,1
143,P13574,P11746,1
144,P38042,Q12440,1
145,P09798,Q12440,1
146,Q12440,P16522,1
147,P32349,P32910,1
148,P25441,P36121,1
149,P07703,P28000,1
150,P20434,P10964,1
151,P20434,P04050,1
152,P04051,P20434,1
153,P28000,P22138,1
154,P16370,P28000,1
155,P04050,P27999,1
156,P04051,P27999,1
157,P22276,Q04307,1
158,P22138,P40422,1
159,P22139,P04050,1
160,P22139,P08518,1
161,P29056,P33339,1
162,P22138,P32529,1
163,P16370,P38902,1
164,P22138,P22139,1
165,P16522,P14724,1
166,Q08920,Q02821,1
167,Q08683,P09798,1
168,P09798,P53068,1
169,P09798,Q12107,1
170,Q12157,P09798,1
171,P53886,P53068,1
172,P53886,P16522,1
173,P53886,P14724,1
174,P53886,P38042,1
175,Q08683,P53886,1
176,Q04601,P53886,1
177,Q12107,Q12440,1
178,Q12440,P53068,1
179,P53068,P16522,1
180,P16522,Q12107,1
181,P16522,Q12157,1
182,Q08683,P16522,1
183,P53068,P38042,1
184,Q12157,P38042,1
185,P38042,Q08683,1
186,P38042,Q04601,1
187,P32830,P87108,1
188,P35189,Q06697,1
189,P35189,P38351,1
190,P04050,P35189,1
191,P35189,P22082,1
192,P35189,P41896,1
193,P46680,Q12107,1
194,P38316,P40344,1
195,Q06628,P32379,1
196,Q06628,P53271,1
197,Q12380,P38316,1
198,P38862,P38316,1
199,P40344,P38862,1
200,P38862,P38182,1
201,P07260,P12962,1
202,P06243,Q12018,1
203,P52286,Q12018,1
204,Q12018,Q12395,1
205,P06243,P39517,1
206,P07250,P06243,1
207,P33308,Q12343,1
208,P35203,Q08831,1
209,P32582,P25651,1
210,P53550,Q12517,1
211,P39998,P53550,1
212,Q12517,P39517,1
213,P19735,Q06819,1
214,P16522,Q04601,1
215,P26449,Q12063,1
216,P46677,P53040,1
217,P07703,P22138,1
218,Q06549,Q06549,1
219,P29366,P32917,1
220,Q12440,P53886,1
221,P53038,P06243,1
222,Q02775,P33411,1
223,Q12030,P35189,1
224,P32797,P38960,1
225,P03069,P32569,1
226,P14724,P53068,1
227,P25441,P33339,1
228,P16861,P50102,1
229,P47822,Q12343,1
230,P40959,P38247,1
231,P14741,P14741,1
232,Q04839,P32505,1
233,Q00582,Q00582,1
234,Q12306,P12954,1
235,P12954,P38957,1
236,P32505,P12954,1
237,P32505,Q99383,1
238,Q04087,P25651,1
239,P38203,P40089,1
240,Q06406,P38203,1
241,P38203,P53905,1
242,P48240,P38203,1
243,Q06217,P38203,1
244,P40070,Q06406,1
245,P53905,P40070,1
246,Q12517,P47093,1
247,P47093,P40089,1
248,Q02197,Q03503,1
249,P14904,P14904,1
250,P35193,P14904,1
251,Q12517,P38203,1
252,P39517,P38203,1
253,P38203,P47017,1
254,P40070,P47017,1
255,P23059,Q02197,1
256,Q12262,P47167,1
257,P32570,Q02574,1
258,Q08278,Q12343,1
259,P14741,P32505,1
260,P32497,P32911,1
261,P43609,P32832,1
262,Q02336,P39081,1
263,P39081,Q08685,1
264,P25299,P39081,1
265,P39081,Q06411,1
266,Q12527,P39081,1
267,P39081,P17157,1
268,P39108,P27796,1
269,Q12277,P48240,1
270,Q03790,P34077,1
271,P34077,P53271,1
272,P33755,P53044,1
273,P25298,P39081,1
274,P50091,P39108,1
275,P32337,P40577,1
276,P50623,P25454,1
277,P40992,P32786,1
278,P07248,P53043,1
279,P21242,P43577,1
280,P40302,P36068,1
281,P21372,P38956,1
282,P50623,P19735,1
283,Q02574,P48581,1
284,P14736,P32628,1
285,P28000,Q00582,1
286,Q12377,P03069,1
287,P53437,P38204,1
288,Q08446,P52286,1
289,Q12330,P54999,1
290,Q06217,P54999,1
291,P33307,P32259,1
292,P47074,P32259,1
293,P32259,P33203,1
294,P00127,P32259,1
295,P07834,P52286,1
296,P50623,Q12306,1
297,P12904,P49017,1
298,P32585,P38304,1
299,Q08278,P47822,1
300,Q02821,P33317,1
301,P06106,Q02821,1
302,P36068,Q02821,1
303,Q02821,P34760,1
304,P53215,Q02821,1
305,Q05016,Q02821,1
306,P32916,Q03824,1
307,P36145,P36100,1
308,P32776,P36100,1
309,P32776,P14904,1
310,P32776,P53271,1
311,P32776,P35193,1
312,P32318,P32318,1
313,P43577,Q04067,1
314,Q03337,P36149,1
315,P35193,Q99394,1
316,P50623,P50623,1
317,P39001,P35193,1
318,Q06245,P32912,1
319,P32912,P39723,1
320,P32912,Q12241,1
321,P32912,P14359,1
322,P52917,P39929,1
323,P38123,P39706,1
324,P32912,P32939,1
325,P38784,P32366,1
326,Q03323,P38784,1
327,P38753,P40343,1
328,Q06696,Q12483,1
329,P38324,Q12098,1
330,P25293,P25389,1
331,P39685,Q03790,1
332,P40485,Q02784,1
333,P32570,Q99278,1
334,P17157,P53124,1
335,P43588,Q08723,1
336,Q03337,P38334,1
337,P25586,P53091,1
338,P35203,P52286,1
339,Q02821,Q12178,1
340,P53040,Q04839,1
341,P14682,P32259,1
342,P36116,P38806,1
343,P38784,P39111,1
344,Q00582,P38822,1
345,Q03406,Q12488,1
346,P35718,Q12508,1
347,Q03406,P43615,1
348,P53215,P53215,1
349,P38751,P53973,1
350,P38957,P38751,1
351,P40485,P36068,1
352,P40465,Q12318,1
353,P14693,P53934,1
354,P40465,Q06168,1
355,P23202,P28320,1
356,P36108,Q04477,1
357,P36075,P53215,1
358,P38247,Q02205,1
359,Q03323,P43132,1
360,P36010,P36010,1
361,Q12285,Q12118,1
362,P40485,Q04749,1
363,Q08204,Q04477,1
364,P25651,Q08729,1
365,P38784,Q02725,1
366,P41920,P25293,1
367,P32790,P32793,1
368,Q12306,Q12306,1
369,P40089,Q06406,1
370,P40089,P53905,1
371,P38555,P40955,1
372,Q04839,P32793,1
373,Q06102,P45976,1
374,P34162,P38208,1
375,P38182,P40344,1
376,P38272,P38272,1
377,P34162,P33754,1
378,P38334,P34162,1
379,P38334,P36149,1
380,P36068,P36068,1
381,P39929,P39929,1
382,Q12318,P38957,1
383,Q02205,Q00582,1
384,P25451,P25605,1
385,Q03835,P53082,1
386,P50106,P32529,1
387,P25559,P38782,1
388,P25559,P39111,1
389,P46962,P46963,1
390,P25591,P26755,1
391,P07272,P07272,1
392,Q03818,Q03818,1
393,P04050,P08518,1
394,P20435,P08518,1
395,P04050,P20435,1
396,P04050,P20436,1
397,P38902,P04050,1
398,P08518,P27999,1
399,P16370,P08518,1
400,P16370,P40422,1
401,P06104,P02293,1
402,P32790,P15891,1
403,P33338,P15891,1
404,P34162,Q02336,1
405,P32569,Q02336,1
406,Q02336,P47822,1
407,P46677,Q02336,1
408,Q05027,Q02336,1
409,P53040,Q02336,1
410,P50875,Q02336,1
411,P06844,Q02336,1
412,P35177,Q02336,1
413,Q12440,Q12157,1
414,P46672,P00958,1
415,P46655,P46672,1
416,P11076,P39524,1
417,Q06681,P40485,1
418,P43619,P43619,1
419,P38276,P38276,1
420,P53184,P53184,1
421,Q06411,P36118,1
422,Q12493,Q06162,1
423,P38874,Q04868,1
424,P40565,P46947,1
425,P46948,Q05636,1
426,Q12415,P32367,1
427,P32325,P22216,1
428,P38304,P19659,1
429,P23561,P08539,1
430,P80428,P02309,1
431,P09959,P39678,1
432,P02293,P18480,1
433,P30771,P05453,1
434,P29366,P11433,1
435,P22804,P22804,1
436,P25385,P22804,1
437,P20606,P22804,1
438,P15303,P22804,1
439,P22804,P40482,1
440,P25385,P20606,1
441,P15303,P25385,1
442,P32910,P29056,1
443,P32367,P29056,1
444,P41695,P26449,1
445,P39935,P12962,1
446,Q06675,P17106,1
447,P40517,P33331,1
448,Q04338,P36015,1
449,P36015,Q12255,1
450,P36015,P32912,1
451,P25491,P31539,1
452,P25655,P34909,1
453,Q12514,P34909,1
454,P06242,P37366,1
455,P11927,P06704,1
456,P39935,P07260,1
457,P07260,P04147,1
458,P25655,P06100,1
459,P25655,Q12514,1
460,P07834,Q12018,1
461,P14682,P07834,1
462,Q08446,P07834,1
463,P09119,P07834,1
464,P54784,P09119,1
465,P32833,P09119,1
466,P54790,P09119,1
467,P09119,P50874,1
468,P38826,P09119,1
469,P32325,P06243,1
470,P29469,P06243,1
471,P22579,P39001,1
472,P52488,P29468,1
473,P52488,P53044,1
474,P53378,P32380,1
475,Q01159,O13297,1
476,P04050,Q01159,1
477,P04050,O13297,1
478,P06786,P25644,1
479,P32497,P38431,1
480,P39935,P04147,1
481,P13393,Q03761,1
482,P46677,Q03761,1
483,P06787,P07273,1
484,P06787,P19524,1
485,P46677,P03069,1
486,P38431,P09064,1
487,P47103,P02829,1
488,P05453,P31539,1
489,P30822,P49687,1
490,P20676,P30822,1
491,P49686,P30822,1
492,P40477,P30822,1
493,P30822,P21827,1
494,P19880,P30822,1
495,P41920,P30822,1
496,P40484,P22204,1
497,P32325,P32562,1
498,P29469,P32325,1
499,Q08949,Q02574,1
500,P48581,Q08949,1
501,P39517,P39008,1
502,P20459,P32501,1
503,P09064,P09032,1
504,P32501,P09064,1
505,P04385,P04387,1
506,Q12343,P19659,1
507,P19659,P38782,1
508,Q08278,P19659,1
509,P19659,P40356,1
510,P19263,P19659,1
511,P19659,P25046,1
512,P19659,P32259,1
513,P34162,P19659,1
514,P32569,P19659,1
